layer,src0_name,n_tokens,top_k,n_expert,ids
25,"blk.25.ffn_gate_exps.weight",2,8,232,113 94 71 19 131 205 127 171; 44 89 10 202 3 176 132 177
25,"blk.25.ffn_up_exps.weight",2,8,232,113 94 71 19 131 205 127 171; 44 89 10 202 3 176 132 177
25,"blk.25.ffn_down_exps.weight",2,8,232,113 94 71 19 131 205 127 171; 44 89 10 202 3 176 132 177
26,"blk.26.ffn_gate_exps.weight",2,8,232,136 170 207 150 168 64 199 15; 11 12 16 33 2 156 222 105
26,"blk.26.ffn_up_exps.weight",2,8,232,136 170 207 150 168 64 199 15; 11 12 16 33 2 156 222 105
26,"blk.26.ffn_down_exps.weight",2,8,232,136 170 207 150 168 64 199 15; 11 12 16 33 2 156 222 105
27,"blk.27.ffn_gate_exps.weight",1,8,232,81 26 96 68 227 189 72 182
27,"blk.27.ffn_up_exps.weight",1,8,232,81 26 96 68 227 189 72 182
27,"blk.27.ffn_down_exps.weight",1,8,232,81 26 96 68 227 189 72 182
0,"blk.0.ffn_gate_exps.weight",2,8,232,48 2 79 192 193 188 29 164; 48 79 2 192 193 188 164 29
0,"blk.0.ffn_up_exps.weight",2,8,232,48 2 79 192 193 188 29 164; 48 79 2 192 193 188 164 29
0,"blk.0.ffn_down_exps.weight",2,8,232,48 2 79 192 193 188 29 164; 48 79 2 192 193 188 164 29
1,"blk.1.ffn_gate_exps.weight",2,8,232,96 93 69 61 161 122 132 109; 96 93 69 161 61 132 122 109
1,"blk.1.ffn_up_exps.weight",2,8,232,96 93 69 61 161 122 132 109; 96 93 69 161 61 132 122 109
1,"blk.1.ffn_down_exps.weight",2,8,232,96 93 69 61 161 122 132 109; 96 93 69 161 61 132 122 109
2,"blk.2.ffn_gate_exps.weight",2,8,232,171 177 112 226 91 179 146 20; 171 177 112 226 91 179 20 196
2,"blk.2.ffn_up_exps.weight",2,8,232,171 177 112 226 91 179 146 20; 171 177 112 226 91 179 20 196
2,"blk.2.ffn_down_exps.weight",2,8,232,171 177 112 226 91 179 146 20; 171 177 112 226 91 179 20 196
3,"blk.3.ffn_gate_exps.weight",2,8,232,197 195 188 123 117 5 68 227; 197 195 188 55 13 14 31 227
3,"blk.3.ffn_up_exps.weight",2,8,232,197 195 188 123 117 5 68 227; 197 195 188 55 13 14 31 227
3,"blk.3.ffn_down_exps.weight",2,8,232,197 195 188 123 117 5 68 227; 197 195 188 55 13 14 31 227
4,"blk.4.ffn_gate_exps.weight",2,8,232,70 115 95 222 9 75 14 21; 19 115 70 153 223 4 222 95
4,"blk.4.ffn_up_exps.weight",2,8,232,70 115 95 222 9 75 14 21; 19 115 70 153 223 4 222 95
4,"blk.4.ffn_down_exps.weight",2,8,232,70 115 95 222 9 75 14 21; 19 115 70 153 223 4 222 95
5,"blk.5.ffn_gate_exps.weight",2,8,232,77 208 127 40 49 27 31 55; 218 31 225 226 90 208 84 136
5,"blk.5.ffn_up_exps.weight",2,8,232,77 208 127 40 49 27 31 55; 218 31 225 226 90 208 84 136
5,"blk.5.ffn_down_exps.weight",2,8,232,77 208 127 40 49 27 31 55; 218 31 225 226 90 208 84 136
6,"blk.6.ffn_gate_exps.weight",2,8,232,154 186 169 137 168 203 94 133; 154 60 65 126 137 52 57 129
6,"blk.6.ffn_up_exps.weight",2,8,232,154 186 169 137 168 203 94 133; 154 60 65 126 137 52 57 129
6,"blk.6.ffn_down_exps.weight",2,8,232,154 186 169 137 168 203 94 133; 154 60 65 126 137 52 57 129
7,"blk.7.ffn_gate_exps.weight",2,8,232,17 4 168 203 102 190 137 188; 16 137 157 119 104 188 4 86
7,"blk.7.ffn_up_exps.weight",2,8,232,17 4 168 203 102 190 137 188; 16 137 157 119 104 188 4 86
7,"blk.7.ffn_down_exps.weight",2,8,232,17 4 168 203 102 190 137 188; 16 137 157 119 104 188 4 86
8,"blk.8.ffn_gate_exps.weight",2,8,232,212 214 105 0 81 36 177 194; 177 212 40 125 88 105 102 188
8,"blk.8.ffn_up_exps.weight",2,8,232,212 214 105 0 81 36 177 194; 177 212 40 125 88 105 102 188
8,"blk.8.ffn_down_exps.weight",2,8,232,212 214 105 0 81 36 177 194; 177 212 40 125 88 105 102 188
9,"blk.9.ffn_gate_exps.weight",2,8,232,80 143 75 97 96 76 0 17; 85 200 143 75 209 142 151 222
9,"blk.9.ffn_up_exps.weight",2,8,232,80 143 75 97 96 76 0 17; 85 200 143 75 209 142 151 222
9,"blk.9.ffn_down_exps.weight",2,8,232,80 143 75 97 96 76 0 17; 85 200 143 75 209 142 151 222
10,"blk.10.ffn_gate_exps.weight",2,8,232,223 82 133 36 123 160 145 137; 2 228 33 211 198 177 16 142
10,"blk.10.ffn_up_exps.weight",2,8,232,223 82 133 36 123 160 145 137; 2 228 33 211 198 177 16 142
10,"blk.10.ffn_down_exps.weight",2,8,232,223 82 133 36 123 160 145 137; 2 228 33 211 198 177 16 142
11,"blk.11.ffn_gate_exps.weight",2,8,232,199 33 168 103 80 27 155 18; 28 155 178 131 19 168 174 224
11,"blk.11.ffn_up_exps.weight",2,8,232,199 33 168 103 80 27 155 18; 28 155 178 131 19 168 174 224
11,"blk.11.ffn_down_exps.weight",2,8,232,199 33 168 103 80 27 155 18; 28 155 178 131 19 168 174 224
12,"blk.12.ffn_gate_exps.weight",2,8,232,19 73 34 21 161 192 48 89; 64 21 159 37 11 34 45 87
12,"blk.12.ffn_up_exps.weight",2,8,232,19 73 34 21 161 192 48 89; 64 21 159 37 11 34 45 87
12,"blk.12.ffn_down_exps.weight",2,8,232,19 73 34 21 161 192 48 89; 64 21 159 37 11 34 45 87
13,"blk.13.ffn_gate_exps.weight",2,8,232,195 1 198 200 27 54 169 166; 220 32 222 174 188 166 34 199
13,"blk.13.ffn_up_exps.weight",2,8,232,195 1 198 200 27 54 169 166; 220 32 222 174 188 166 34 199
13,"blk.13.ffn_down_exps.weight",2,8,232,195 1 198 200 27 54 169 166; 220 32 222 174 188 166 34 199
14,"blk.14.ffn_gate_exps.weight",2,8,232,148 121 84 132 200 104 110 180; 110 201 174 50 30 132 117 127
14,"blk.14.ffn_up_exps.weight",2,8,232,148 121 84 132 200 104 110 180; 110 201 174 50 30 132 117 127
14,"blk.14.ffn_down_exps.weight",2,8,232,148 121 84 132 200 104 110 180; 110 201 174 50 30 132 117 127
15,"blk.15.ffn_gate_exps.weight",2,8,232,111 221 38 213 59 87 28 93; 87 104 20 214 59 38 182 23
15,"blk.15.ffn_up_exps.weight",2,8,232,111 221 38 213 59 87 28 93; 87 104 20 214 59 38 182 23
15,"blk.15.ffn_down_exps.weight",2,8,232,111 221 38 213 59 87 28 93; 87 104 20 214 59 38 182 23
16,"blk.16.ffn_gate_exps.weight",2,8,232,89 186 16 170 84 169 85 44; 149 1 84 99 42 186 188 89
16,"blk.16.ffn_up_exps.weight",2,8,232,89 186 16 170 84 169 85 44; 149 1 84 99 42 186 188 89
16,"blk.16.ffn_down_exps.weight",2,8,232,89 186 16 170 84 169 85 44; 149 1 84 99 42 186 188 89
17,"blk.17.ffn_gate_exps.weight",2,8,232,95 157 46 94 213 38 37 153; 157 217 95 21 57 160 203 220
17,"blk.17.ffn_up_exps.weight",2,8,232,95 157 46 94 213 38 37 153; 157 217 95 21 57 160 203 220
17,"blk.17.ffn_down_exps.weight",2,8,232,95 157 46 94 213 38 37 153; 157 217 95 21 57 160 203 220
18,"blk.18.ffn_gate_exps.weight",2,8,232,129 168 65 34 123 172 154 16; 61 128 123 100 17 65 107 154
18,"blk.18.ffn_up_exps.weight",2,8,232,129 168 65 34 123 172 154 16; 61 128 123 100 17 65 107 154
18,"blk.18.ffn_down_exps.weight",2,8,232,129 168 65 34 123 172 154 16; 61 128 123 100 17 65 107 154
19,"blk.19.ffn_gate_exps.weight",2,8,232,46 104 21 135 221 223 216 155; 136 150 123 225 159 21 79 181
19,"blk.19.ffn_up_exps.weight",2,8,232,46 104 21 135 221 223 216 155; 136 150 123 225 159 21 79 181
19,"blk.19.ffn_down_exps.weight",2,8,232,46 104 21 135 221 223 216 155; 136 150 123 225 159 21 79 181
20,"blk.20.ffn_gate_exps.weight",2,8,232,68 197 155 57 115 79 78 122; 28 155 27 19 103 188 24 230
20,"blk.20.ffn_up_exps.weight",2,8,232,68 197 155 57 115 79 78 122; 28 155 27 19 103 188 24 230
20,"blk.20.ffn_down_exps.weight",2,8,232,68 197 155 57 115 79 78 122; 28 155 27 19 103 188 24 230
21,"blk.21.ffn_gate_exps.weight",2,8,232,169 60 110 140 192 186 85 97; 102 55 76 105 75 94 170 110
21,"blk.21.ffn_up_exps.weight",2,8,232,169 60 110 140 192 186 85 97; 102 55 76 105 75 94 170 110
21,"blk.21.ffn_down_exps.weight",2,8,232,169 60 110 140 192 186 85 97; 102 55 76 105 75 94 170 110
22,"blk.22.ffn_gate_exps.weight",2,8,232,73 102 144 210 173 83 224 21; 212 102 9 177 67 109 136 27
22,"blk.22.ffn_up_exps.weight",2,8,232,73 102 144 210 173 83 224 21; 212 102 9 177 67 109 136 27
22,"blk.22.ffn_down_exps.weight",2,8,232,73 102 144 210 173 83 224 21; 212 102 9 177 67 109 136 27
23,"blk.23.ffn_gate_exps.weight",2,8,232,47 19 66 178 190 136 128 121; 19 82 211 224 168 128 48 104
23,"blk.23.ffn_up_exps.weight",2,8,232,47 19 66 178 190 136 128 121; 19 82 211 224 168 128 48 104
23,"blk.23.ffn_down_exps.weight",2,8,232,47 19 66 178 190 136 128 121; 19 82 211 224 168 128 48 104
24,"blk.24.ffn_gate_exps.weight",2,8,232,126 168 47 68 215 22 217 163; 47 215 42 136 156 148 30 230
24,"blk.24.ffn_up_exps.weight",2,8,232,126 168 47 68 215 22 217 163; 47 215 42 136 156 148 30 230
24,"blk.24.ffn_down_exps.weight",2,8,232,126 168 47 68 215 22 217 163; 47 215 42 136 156 148 30 230
25,"blk.25.ffn_gate_exps.weight",2,8,232,107 47 5 83 67 172 124 167; 13 15 47 160 218 186 217 67
25,"blk.25.ffn_up_exps.weight",2,8,232,107 47 5 83 67 172 124 167; 13 15 47 160 218 186 217 67
25,"blk.25.ffn_down_exps.weight",2,8,232,107 47 5 83 67 172 124 167; 13 15 47 160 218 186 217 67
26,"blk.26.ffn_gate_exps.weight",2,8,232,187 47 37 67 10 88 6 192; 197 106 187 17 219 76 97 10
26,"blk.26.ffn_up_exps.weight",2,8,232,187 47 37 67 10 88 6 192; 197 106 187 17 219 76 97 10
26,"blk.26.ffn_down_exps.weight",2,8,232,187 47 37 67 10 88 6 192; 197 106 187 17 219 76 97 10
27,"blk.27.ffn_gate_exps.weight",1,8,232,41 47 33 137 168 129 149 193
27,"blk.27.ffn_up_exps.weight",1,8,232,41 47 33 137 168 129 149 193
27,"blk.27.ffn_down_exps.weight",1,8,232,41 47 33 137 168 129 149 193
27,"blk.27.ffn_gate_exps.weight",1,8,232,26 96 189 81 227 68 38 178
27,"blk.27.ffn_up_exps.weight",1,8,232,26 96 189 81 227 68 38 178
27,"blk.27.ffn_down_exps.weight",1,8,232,26 96 189 81 227 68 38 178
0,"blk.0.ffn_gate_exps.weight",1,8,232,176 90 88 210 136 145 146 222
0,"blk.0.ffn_up_exps.weight",1,8,232,176 90 88 210 136 145 146 222
0,"blk.0.ffn_down_exps.weight",1,8,232,176 90 88 210 136 145 146 222
1,"blk.1.ffn_gate_exps.weight",1,8,232,124 131 87 197 101 140 162 104
1,"blk.1.ffn_up_exps.weight",1,8,232,124 131 87 197 101 140 162 104
1,"blk.1.ffn_down_exps.weight",1,8,232,124 131 87 197 101 140 162 104
2,"blk.2.ffn_gate_exps.weight",1,8,232,190 159 66 71 148 128 176 145
2,"blk.2.ffn_up_exps.weight",1,8,232,190 159 66 71 148 128 176 145
2,"blk.2.ffn_down_exps.weight",1,8,232,190 159 66 71 148 128 176 145
3,"blk.3.ffn_gate_exps.weight",1,8,232,76 166 145 144 111 117 201 178
3,"blk.3.ffn_up_exps.weight",1,8,232,76 166 145 144 111 117 201 178
3,"blk.3.ffn_down_exps.weight",1,8,232,76 166 145 144 111 117 201 178
4,"blk.4.ffn_gate_exps.weight",1,8,232,69 66 207 161 84 188 146 43
4,"blk.4.ffn_up_exps.weight",1,8,232,69 66 207 161 84 188 146 43
4,"blk.4.ffn_down_exps.weight",1,8,232,69 66 207 161 84 188 146 43
5,"blk.5.ffn_gate_exps.weight",1,8,232,150 71 209 67 110 177 7 191
5,"blk.5.ffn_up_exps.weight",1,8,232,150 71 209 67 110 177 7 191
5,"blk.5.ffn_down_exps.weight",1,8,232,150 71 209 67 110 177 7 191
6,"blk.6.ffn_gate_exps.weight",1,8,232,177 114 137 70 52 17 149 186
6,"blk.6.ffn_up_exps.weight",1,8,232,177 114 137 70 52 17 149 186
